title;company;location;modality;link;postedAt;salary
"AUXILIAR DE DOCUMENTAÇÃO";"W3K TECNOLOGIA LTDA";"Salvador - BA";"Presencial";"https://w3ktecnologia.solides.jobs/vacancies/785293?origem=portal";"2026-02-04";"A combinar"
"ANALISTA DE TI ";"CONECTA ASSESSORIA EM GESTAO LTDA";"Salvador - BA";"Presencial";"https://conectaconsultoriarh.solides.jobs/vacancies/785018?origem=portal";"2026-02-03";"A combinar"
"CONSULTOR DE VENDAS - PARQUE SHOPPING  - (CÓPIA)";"FACELL COMERCIO DE CELULARES LTDA";"Salvador - BA";"Presencial";"https://facell.solides.jobs/vacancies/780611?origem=portal";"2026-01-27";"R$ 1700 - R$ 3200"
"DESENVOLVEDOR - REFERÊNCIA TÉCNICA";"Empresa confidencial";"Salvador - BA";"Presencial";"https://solides.jobs/vacancies/777099?origem=portal";"2026-01-22";"A combinar"
"DESENVOLVEDOR BACKEND JÚNIOR";"Empresa confidencial";"Salvador - BA";"Presencial";"https://solides.jobs/vacancies/776802?origem=portal";"2026-01-22";"A combinar"
"ANALISTA DE TESTES PLENO";"Empresa confidencial";"Salvador - BA";"Presencial";"https://solides.jobs/vacancies/776863?origem=portal";"2026-01-22";"R$ 0 - R$ 3686"
"DESENVOLVEDOR BACKEND JÚNIOR";"Empresa confidencial";"Salvador - BA";"Presencial";"https://solides.jobs/vacancies/776542?origem=portal";"2026-01-21";"A combinar"
"ANALISTA DE DADOS / MIGRAÇÃO - PLENO";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/775872?origem=portal";"2026-01-21";"A combinar"
"VAGA DESENVOLVEDOR BACK-END - PLENO/SÊNIOR ";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776533?origem=portal";"2026-01-21";"A combinar"
"VAGA ESPECIALISTA EM HOMOLOGAÇÃO / PERFORMANCE - SÊNIOR ";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776566?origem=portal";"2026-01-21";"A combinar"
"VAGA ESPECIALISTA EM PREVIDÊNCIA COMPLEMENTAR - SÊNIOR";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776572?origem=portal";"2026-01-21";"A combinar"
"VAGA SUPORTE DE IMPLANTAÇÃO / CHANGE MANAGEMENT - PLENO";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776585?origem=portal";"2026-01-21";"A combinar"
"VAGA GERENTE DE PROJETO - SÊNIOR ";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776577?origem=portal";"2026-01-21";"A combinar"
"VAGA ANALISTA DE TESTES / QA -  PLENO";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776527?origem=portal";"2026-01-21";"A combinar"
"ANALISTA DE REGRAS E PROCESSOS - PLENO";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/775888?origem=portal";"2026-01-21";"A combinar"
"ELETRICISTA  ";"Macêdo RH";"Salvador - BA";"Presencial";"https://macedorh.solides.jobs/vacancies/776749?origem=portal";"2026-01-21";"R$ 0 - R$ 2455.7"
"VAGA DESENVOLVEDOR FRONT-END - PLENO/SÊNIOR ";"NKAN TECH CONSULTORIA LTDA";"Salvador - BA";"Presencial";"https://nkan.solides.jobs/vacancies/776540?origem=portal";"2026-01-21";"A combinar"
"ANALISTA DE INFRAESTRUTURA ";"OPEN SYSTEM TECNOLOGIA LTDA";"Salvador - BA";"Presencial";"https://opensystem.solides.jobs/vacancies/774039?origem=portal";"2026-01-19";"A combinar"
